Weight_Mean,Weight_Median,Weight_Mode,Date_Time
14.415000000000001,18.5,18.7,2021-02-24 18:29:00.934706
17.927,18.6,18.7,2021-02-24 18:31:13.447942
18.223,18.5,18.8,2021-02-24 18:34:55.134278
18.134,18.7,18.7,2021-02-24 18:41:00.666192
14.42,18.299999999999997,7.7,2021-02-24 18:46:50.459337
18.539,18.7,18.7,2021-02-24 18:50:19.474136
17.758,18.5,18.6,2021-02-25 18:15:40.811615
18.067,18.25,18.5,2021-02-25 18:20:00.896323
16.674,17.4,18.6,2021-02-25 18:31:19.317418
17.842,18.3,NO MODE,2021-02-25 18:41:58.911421
17.729,17.95,18.4,2021-02-25 19:01:34.912790
17.730999999999998,17.9,18.0,2021-02-25 19:26:05.227212
17.423,17.8,18.0,2021-02-25 19:49:22.016091
17.794,17.9,17.9,2021-02-25 19:52:59.464819
16.824,17.7,18.0,2021-02-25 20:11:25.898303
