Weight,Time,Date
5.32,16:02:17.720149,2021-02-12
5.32,16:02:17.720149,2021-02-12
5.61,16:02:57.468234,2021-02-12
5.24,16:07:12.482267,2021-02-12
5.12,16:09:04.446827,2021-02-12
5.12,16:09:04.446827,2021-02-12
0.6,16:09:51.912274,2021-02-12
5.2,16:11:49.997295,2021-02-12
5.2,16:16:39.224823,2021-02-12
5.1,16:17:59.544997,2021-02-12
5.1,16:17:59.544997,2021-02-12
4.24,16:19:23.310828,2021-02-12
5.1,16:17:59.544997,2021-02-12
4.24,16:19:23.310828,2021-02-12
4.31,16:21:44.795080,2021-02-12
5.06,16:23:04.479479,2021-02-12
5.15,16:27:47.877811,2021-02-12
0.6,16:29:14.436411,2021-02-12
0.6,16:31:54.293979,2021-02-12
0.6,16:36:31.555264,2021-02-12
0.59,16:41:57.989687,2021-02-12
5.2,16:47:30.294982,2021-02-12
0.58,16:48:56.914368,2021-02-12
0.58,16:48:56.914368,2021-02-12
0.6,16:54:24.737680,2021-02-12
0.5,20:04:40.231501,2021-02-12
0.5,20:06:48.986650,2021-02-12
0.5,20:06:48.986650,2021-02-12
1.15,20:08:08.497791,2021-02-12
0.5,20:06:48.986650,2021-02-12
1.15,20:08:08.497791,2021-02-12
0.5,20:20:47.312873,2021-02-12
2.22,20:21:37.009123,2021-02-12
